그라나다구역1, 그라나다, 그라나데, 199, 289324
그라나다구역2, 그라나다, 그라나데, 95, 302666
그라나다구역3, 그라나다, 그라나데, 169, 234307
그라나다구역4, 그라나다, 그라나데, 325, 300735
그라나다구역5, 그라나다, 그라나데, 409, 235790
그라나다구역6, 그라나다, 그라나데, 1814, 174700
그라나다구역7, 그라나다, 그라나데, 2700, 152040
메르노구역1, 메르노, 그라나데, 9497, 234130
메르노구역2, 메르노, 그라나데, 13188, 286616
보피노구역1, 보피노, 그라나데, 9996, 195962
보피노구역2, 보피노, 그라나데, 8863, 210888
아파그라나다구역1, 아파그라나다, 그라나데, 17588, 181108
안파키구역1, 안파키, 그라나데, 492, 316564
안파키구역2, 안파키, 그라나데, 7720, 164460
페카그라나다구역1, 페카그라나다, 그라나데, 11862, 194173
페카그라나다구역2, 페카그라나다, 그라나데, 5908, 213256
그미즈리구역1, 그미즈리, 그미즈리, 334, 909112
그미즈리구역2, 그미즈리, 그미즈리, 667, 972259
그미즈리구역3, 그미즈리, 그미즈리, 117, 1415724
그미즈리구역4, 그미즈리, 그미즈리, 100, 1644710
그미즈리구역5, 그미즈리, 그미즈리, 133, 1346093
그미즈리구역6, 그미즈리, 그미즈리, 41, 2071453
그미즈리구역7, 그미즈리, 그미즈리, 291, 851803
그미즈리구역8, 그미즈리, 그미즈리, 43, 1164611
그미즈리구역9, 그미즈리, 그미즈리, 990, 731852
그미즈리구역10, 그미즈리, 그미즈리, 43, 981200
그미즈리구역11, 그미즈리, 그미즈리, 163, 1062910
그미즈리구역12, 그미즈리, 그미즈리, 116, 1142535
그미즈리구역13, 그미즈리, 그미즈리, 507, 891235
그미즈리구역14, 그미즈리, 그미즈리, 608, 647012
그미즈리구역15, 그미즈리, 그미즈리, 949, 861535
그미즈리구역16, 그미즈리, 그미즈리, 1100, 476897
메깅고구역1, 메깅고, 그미즈리, 177, 561601
메깅고구역2, 메깅고, 그미즈리, 1662, 298603
메깅고구역3, 메깅고, 그미즈리, 139, 598520
메깅고구역4, 메깅고, 그미즈리, 2663, 468357
메깅고구역5, 메깅고, 그미즈리, 337, 575548
메깅고구역6, 메깅고, 그미즈리, 281, 656470
메깅고구역7, 메깅고, 그미즈리, 1623, 504004
메깅고구역8, 메깅고, 그미즈리, 558, 1069436
메깅고구역9, 메깅고, 그미즈리, 1474, 449842
메깅고구역10, 메깅고, 그미즈리, 1147, 456676
메깅고구역11, 메깅고, 그미즈리, 2751, 401773
메깅고구역12, 메깅고, 그미즈리, 2518, 348312
미톤노구역1, 미톤노, 그미즈리, 161, 682325
미톤노구역2, 미톤노, 그미즈리, 1435, 387062
미톤노구역3, 미톤노, 그미즈리, 243, 865944
미톤노구역4, 미톤노, 그미즈리, 265, 922527
미톤노구역5, 미톤노, 그미즈리, 502, 1050613
미톤노구역6, 미톤노, 그미즈리, 1618, 297101
미톤노구역7, 미톤노, 그미즈리, 10788, 237418
미톤노구역8, 미톤노, 그미즈리, 251, 762645
미톤노구역9, 미톤노, 그미즈리, 554, 717624
미톤노구역10, 미톤노, 그미즈리, 3609, 272627
미톤노구역11, 미톤노, 그미즈리, 2087, 333838
아센시구역1, 아센시, 그미즈리, 258, 950975
아센시구역2, 아센시, 그미즈리, 186, 1015398
아센시구역3, 아센시, 그미즈리, 375, 1004066
아센시구역4, 아센시, 그미즈리, 360, 705037
아센시구역5, 아센시, 그미즈리, 1432, 646185
아센시구역6, 아센시, 그미즈리, 113, 786821
아센시구역7, 아센시, 그미즈리, 793, 628415
아센시구역8, 아센시, 그미즈리, 1836, 496828
아센시구역9, 아센시, 그미즈리, 3475, 375991
아센시구역10, 아센시, 그미즈리, 3177, 321840
아센시구역11, 아센시, 그미즈리, 1433, 448045
아센시구역12, 아센시, 그미즈리, 3420, 354535
오크모구역1, 오크모, 그미즈리, 2551, 207082
오크모구역2, 오크모, 그미즈리, 10052, 254979
오크모구역3, 오크모, 그미즈리, 265, 685073
오크모구역4, 오크모, 그미즈리, 7924, 183813
오크모구역5, 오크모, 그미즈리, 1200, 260374
오크모구역6, 오크모, 그미즈리, 312, 651728
오크모구역7, 오크모, 그미즈리, 110, 1016182
오크모구역8, 오크모, 그미즈리, 175, 889598
오크모구역9, 오크모, 그미즈리, 603, 694046
오크모구역10, 오크모, 그미즈리, 137, 957704
오크모구역11, 오크모, 그미즈리, 486, 464744
오크모구역12, 오크모, 그미즈리, 895, 416880
오크모구역13, 오크모, 그미즈리, 2211, 356576
오크모구역14, 오크모, 그미즈리, 5068, 341512
키에오구역1, 키에오, 그미즈리, 4946, 249477
키에오구역2, 키에오, 그미즈리, 1979, 369481
키에오구역3, 키에오, 그미즈리, 193, 846371
키에오구역4, 키에오, 그미즈리, 209, 754294
키에오구역5, 키에오, 그미즈리, 616, 468620
키에오구역6, 키에오, 그미즈리, 6534, 178104
키에오구역7, 키에오, 그미즈리, 83, 989252
키에오구역8, 키에오, 그미즈리, 126, 1061819
키에오구역9, 키에오, 그미즈리, 10519, 164789
키에오구역10, 키에오, 그미즈리, 2680, 390439
키에오구역11, 키에오, 그미즈리, 1695, 538876
페아그구역1, 페아그, 그미즈리, 3972, 201419
페아그구역2, 페아그, 그미즈리, 797, 350532
페아그구역3, 페아그, 그미즈리, 835, 391232
페아그구역4, 페아그, 그미즈리, 378, 640596
페아그구역5, 페아그, 그미즈리, 147, 883785
페아그구역6, 페아그, 그미즈리, 306, 981659
페아그구역7, 페아그, 그미즈리, 122, 782426
페아그구역8, 페아그, 그미즈리, 1951, 337489
페아그구역9, 페아그, 그미즈리, 1137, 694193
페아그구역10, 페아그, 그미즈리, 2336, 601855
페아그구역11, 페아그, 그미즈리, 852, 362116
페아그구역12, 페아그, 그미즈리, 369, 951886
페아그구역13, 페아그, 그미즈리, 433, 1105392
페아그구역14, 페아그, 그미즈리, 2851, 253046
페아그구역15, 페아그, 그미즈리, 4557, 172747
호오토구역1, 호오토, 그미즈리, 7959, 174548
호오토구역2, 호오토, 그미즈리, 1175, 311750
호오토구역3, 호오토, 그미즈리, 3242, 284529
호오토구역4, 호오토, 그미즈리, 137, 529066
호오토구역5, 호오토, 그미즈리, 353, 341020
호오토구역6, 호오토, 그미즈리, 310, 416489
호오토구역7, 호오토, 그미즈리, 63, 1025843
호오토구역8, 호오토, 그미즈리, 1032, 251573
호오토구역9, 호오토, 그미즈리, 250, 877280
호오토구역10, 호오토, 그미즈리, 221, 797681
호오토구역11, 호오토, 그미즈리, 2111, 236545
호오토구역12, 호오토, 그미즈리, 626, 292853
호오토구역13, 호오토, 그미즈리, 164, 785223
호오토구역14, 호오토, 그미즈리, 707, 366047
호오토구역15, 호오토, 그미즈리, 690, 483748
호오토구역16, 호오토, 그미즈리, 2502, 302735
호오토구역17, 호오토, 그미즈리, 441, 386960
호오토구역18, 호오토, 그미즈리, 509, 387262
호오토구역19, 호오토, 그미즈리, 1144, 270841
가안구역1, 가안, 도마니, 559, 433287
가안구역2, 가안, 도마니, 600, 638682
가안구역3, 가안, 도마니, 196, 1084379
가안구역4, 가안, 도마니, 646, 572989
메고기구역1, 메고기, 도마니, 837, 799104
메고기구역2, 메고기, 도마니, 4066, 391098
메고기구역3, 메고기, 도마니, 405, 649526
메고기구역4, 메고기, 도마니, 8111, 251454
메고기구역5, 메고기, 도마니, 10281, 331221
메옹구역1, 메옹, 도마니, 646, 500319
모옹홀구역1, 모옹홀, 도마니, 13621, 595050
바스바드구역1, 바스바드, 도마니, 572, 1067068
바스바드구역2, 바스바드, 도마니, 4371, 891270
바스바드구역3, 바스바드, 도마니, 15849, 637634
바스바드구역4, 바스바드, 도마니, 1442, 786610
바스바드구역5, 바스바드, 도마니, 17119, 288365
브고홀구역1, 브고홀, 도마니, 7942, 306209
브고홀구역2, 브고홀, 도마니, 8426, 291638
에링고구역1, 에링고, 도마니, 1344, 1162186
에링고구역2, 에링고, 도마니, 1098, 1270634
에링고구역3, 에링고, 도마니, 604, 1415735
에링고구역4, 에링고, 도마니, 893, 949614
에링고구역5, 에링고, 도마니, 1160, 983163
오브니구역1, 오브니, 도마니, 328, 1038903
오브니구역2, 오브니, 도마니, 1178, 818025
오브니구역3, 오브니, 도마니, 4769, 729445
오브니구역4, 오브니, 도마니, 357, 879345
오브니구역5, 오브니, 도마니, 11784, 606928
즈조이구역1, 즈조이, 도마니, 7872, 187629
즈조이구역2, 즈조이, 도마니, 422, 382951
즈조이구역3, 즈조이, 도마니, 5499, 266236
즈조이구역4, 즈조이, 도마니, 365, 787728
즈조이구역5, 즈조이, 도마니, 524, 456273
즈조이구역6, 즈조이, 도마니, 5948, 235471
커피구역1, 커피, 도마니, 431, 838647
커피구역2, 커피, 도마니, 1732, 536425
커피구역3, 커피, 도마니, 8837, 314113
커피구역4, 커피, 도마니, 10665, 260225
케릴티구역1, 케릴티, 도마니, 262, 583064
케릴티구역2, 케릴티, 도마니, 3106, 492819
케릴티구역3, 케릴티, 도마니, 645, 1054779
케릴티구역4, 케릴티, 도마니, 572, 502133
케릴티구역5, 케릴티, 도마니, 3497, 555492
케릴티구역6, 케릴티, 도마니, 15069, 235257
케릴티구역7, 케릴티, 도마니, 3567, 397326
낙소구역1, 낙소, 림덴시, 2407, 520895
낙소구역2, 낙소, 림덴시, 9563, 268305
낙소구역3, 낙소, 림덴시, 416, 984948
낙소구역4, 낙소, 림덴시, 3740, 236238
낙소구역5, 낙소, 림덴시, 3433, 539232
라토카구역1, 라토카, 림덴시, 2754, 244617
라토카구역2, 라토카, 림덴시, 28152, 191967
린토카구역1, 린토카, 림덴시, 21986, 186626
린토카구역2, 린토카, 림덴시, 9218, 241741
메바치구역1, 메바치, 림덴시, 8887, 666507
메바치구역2, 메바치, 림덴시, 4529, 888711
메바치구역3, 메바치, 림덴시, 5060, 781497
모리고구역1, 모리고, 림덴시, 2080, 806225
모리고구역2, 모리고, 림덴시, 518, 1096519
모리고구역3, 모리고, 림덴시, 801, 707589
모리고구역4, 모리고, 림덴시, 1983, 713680
모호카구역1, 모호카, 림덴시, 32836, 217723
모호카구역2, 모호카, 림덴시, 5908, 242266
보빈구역1, 보빈, 림덴시, 5367, 226826
보빈구역2, 보빈, 림덴시, 3719, 492227
보빈구역3, 보빈, 림덴시, 268, 760745
보빈구역4, 보빈, 림덴시, 2699, 545616
보어구역1, 보어, 림덴시, 14841, 304282
세오고구역1, 세오고, 림덴시, 810, 514667
세오고구역2, 세오고, 림덴시, 3635, 319620
세오고구역3, 세오고, 림덴시, 6895, 285015
세오고구역4, 세오고, 림덴시, 1443, 456139
스피가구역1, 스피가, 림덴시, 5465, 812492
스피가구역2, 스피가, 림덴시, 6372, 876400
스피가구역3, 스피가, 림덴시, 5367, 811157
시안구역1, 시안, 림덴시, 9696, 315802
시안구역2, 시안, 림덴시, 1631, 350548
시안구역3, 시안, 림덴시, 1176, 352588
아르고구역1, 아르고, 림덴시, 2182, 1312772
아르고구역2, 아르고, 림덴시, 824, 1652031
아르고구역3, 아르고, 림덴시, 1556, 1287910
아르고구역4, 아르고, 림덴시, 507, 943648
파미즈구역1, 파미즈, 림덴시, 4456, 477045
파미즈구역2, 파미즈, 림덴시, 7541, 441281
파미즈구역3, 파미즈, 림덴시, 2095, 878733
파미즈구역4, 파미즈, 림덴시, 3737, 482437
파미즈구역5, 파미즈, 림덴시, 1596, 931387
펜보드구역1, 펜보드, 림덴시, 12790, 418903
펜보드구역2, 펜보드, 림덴시, 12760, 458369
나다이구역1, 나다이, 메세기, 1298, 355736
나다이구역2, 나다이, 메세기, 5904, 215881
메세기구역1, 메세기, 메세기, 4392, 396171
메세기구역2, 메세기, 메세기, 14555, 259603
메세기구역3, 메세기, 메세기, 747, 498109
메세기구역4, 메세기, 메세기, 394, 568414
메세기구역5, 메세기, 메세기, 1111, 404663
메세기구역6, 메세기, 메세기, 8996, 287607
안파기구역1, 안파기, 메세기, 4521, 449287
안파기구역2, 안파기, 메세기, 32332, 337099
옹피오구역1, 옹피오, 메세기, 26655, 341650
크라나구역1, 크라나, 메세기, 14967, 307424
크레이구역1, 크레이, 메세기, 658, 446818
크레이구역2, 크레이, 메세기, 13617, 356304
크레이구역3, 크레이, 메세기, 147, 574255
크레이구역4, 크레이, 메세기, 563, 545565
크레이구역5, 크레이, 메세기, 1451, 385378
포크란구역1, 포크란, 메세기, 164, 645112
포크란구역2, 포크란, 메세기, 135, 643418
포크란구역3, 포크란, 메세기, 31, 792517
포크란구역4, 포크란, 메세기, 373, 489274
포크란구역5, 포크란, 메세기, 118, 634366
포크란구역6, 포크란, 메세기, 55, 461593
포크란구역7, 포크란, 메세기, 215, 476046
포크란구역8, 포크란, 메세기, 327, 477941
리에다구역1, 리에다, 미네바, 2136, 436282
