아젠타,15610,346870
테트리다모스,4004,538756
츠비키,64770,6513084
하르바트,61565,6837747
테타,1139,948012
아칸타,13030,460397
메르네,47346,9595416
리에다,17833,945678
테트리비제모스,6028,354321
파르티엔타,14983,542456
아이리카,59364,21251427
마링고,35353,267891
미바나,8748,2578901
에디아다,30323,1056789
미에고,2360,1161469
솔바,1386,3178901
이벤토,54726,281480
유칸타,13125,580445
메고리,34012,616789
아바나,3786,2167890
아브레,34582,5351850
민마나,2734,1585678
민고,56790,467890
모에바,12252,1445678
유프란,50235,667890
바니아,19364,404567
코에가,7337,2767890
메가,4161,1445678
만토,560,956789
피에트라,73821,7553084
아리나,1631,1587890
미츠비,1704,4984629
미치바,8791,2331284
나릴로,41071,1156789
아신가,28959,1432567
베아골,46999,456789
미느리오,63404,3834567
산시아고,37427,1167890
키골,7829,944226
세골,2633,1134813
페아골,15326,756789
메초오비카,96232,8570738
리에골,49150,345678
시세디,5867,3377913
오고이모,110187,2145678
키르가,71130,3312571
오브니,19049,3167890
우프레나,25774,2457332
비에노,54822,1545678
미골,8397,792467
메링골,19423,367890
알고,31745,1032567
메즈노,47463,1245678
메고이오,39435,1232567
키에오,31075,1867890
티레니오,60705,8134567
파시벤토,112034,3167890
하롱골,37143,367890
케릴티,30109,2343210
아스타나,22520,6467890
바스바드,40647,2756789
민마,2296,3967890
모반토,19190,2832567
아핀고,44648,1245678
모베이,26097,1245678
미톤노,22755,3854321
테안타,877,2731852
에링고,5505,2941468
가안,2183,2456789
메깅고,16524,5168147
그미즈리,7156,6185184
메옹,646,1646284
호오토,25742,2254321
브고홀,16647,1543210
리안토,23923,1567890
산세오,57483,7104567
오고소,16726,2167890
트롱페이,21503,2045678
바티아,1130,2948395
모호보드,85052,1245678
오크모,33745,4354321
이베이,18482,1245678
페린,17663,1845678
아센시,18170,2956280
모옹홀,13621,1556789
메고기,24440,2067890
페아그,22777,5654321
파미즈,20188,2738901
커피,22279,2569303
펜보드,25812,1854321
스피가,17773,1878901
아르고,5354,2445678
모호카,39070,1245678
하싱고,61294,5067890
즈조이,21355,2156789
아린키고,104498,2567890
모리고,5766,2054321
비엥고,52859,4245678
메바치,18934,1878901
레링가,6712,1232567
린토카,31773,1245678
메르노,22995,334567
라토카,31120,1245678
안트로아싱가,7080,4490123
낙소,20361,2167890
모잉고,51149,3243210
보어,14841,1245678
보빈,12440,1621567
보피노,19203,334567
세오고,13288,1854321
안트리포어,16728,1556789
시안,12778,1245678
하르고,4685,1567890
피고모싱고메고차바데다,41301,2167890
노베라니나,1153,1478901
라간,3787,1945678
미베이토메고차피덴타,57100,2367890
안파,8036,934567
아르테,871,2156789
세가,3503,1545678
페카그라나다,19377,1034567
아르모텐타,26913,1567890
테사,4973,1445678
그라나다,6241,1455678
오르도기,7727,734567
메네트리포어,46344,1556789
안파키,1234,334567
아파그라나다,17588,634567
안파기,37367,634567
나다이,7343,1245678
크라나,14967,1245678
크레이,16987,1245678
포크란,1704,2956789
옹피오,26655,1245678
메세기,30948,1999080
